old_path;new_url;article_id;year;issue;doi;surname_in_slug;title_ru
/index.php/arkhiv-publikatsij/2025/21-stati/ekonomicheskaya-teoriya/72-soboleva-i-v-chernykh-e-a-blagopoluchie-svyazannoe-s-rabotoj-kontseptsiya-i-metodologicheskie-podkhody-k-izmereniyu;https://questionset.ru/article/185/;185;2025;4;10.52342/2587-7666vte_2025_4_7_19;да;БЛАГОПОЛУЧИЕ, СВЯЗАННОЕ С РАБОТОЙ: КОНЦЕПЦИЯ И МЕТОДОЛОГИЧЕСКИЕ ПОДХОДЫ К ИЗМЕРЕНИЮ
/index.php/arkhiv-publikatsij/2025/21-stati/ekonomicheskaya-teoriya/73-volchik-v-v-kot-v-v-reformy-faktor-ideologii-v-svete-rossijskikh-nauchnykh-publikatsij;https://questionset.ru/article/188/;188;2025;4;10.52342/2587-7666vte_2025_4_20_35;да;РЕФОРМЫ: ФАКТОР ИДЕОЛОГИИ В СВЕТЕ РОССИЙСКИХ НАУЧНЫХ ПУБЛИКАЦИЙ
/index.php/arkhiv-publikatsij/2025/22-stati/metodologiya-ekonomicheskoj-nauki/74-tambovtsev-v-l-nuzhna-li-novomu-mirovomu-ekonomicheskomu-poryadku-novaya-ekonomicheskaya-teoriya;https://questionset.ru/article/194/;194;2025;4;10.52342/2587-7666vte_2025_4_36_52;да;НУЖНА ЛИ НОВОМУ МИРОВОМУ ЭКОНОМИЧЕСКОМУ ПОРЯДКУ НОВАЯ ЭКОНОМИЧЕСКАЯ ТЕОРИЯ?
/index.php/arkhiv-publikatsij/2025/22-stati/metodologiya-ekonomicheskoj-nauki/75-levin-s-n-sablin-k-s-konkuriruyushchie-paradigmy-v-ramkakh-sovremennoj-politicheskoj-ekonomii;https://questionset.ru/article/195/;195;2025;4;10.52342/2587-7666vte_2025_4_53_67;да;КОНКУРИРУЮЩИЕ ПАРАДИГМЫ В РАМКАХ СОВРЕМЕННОЙ ПОЛИТИЧЕСКОЙ ЭКОНОМИИ
/index.php/arkhiv-publikatsij/2025/23-stati/ot-teorii-k-ekonomicheskoj-politike/76-shcherbakov-v-s-otsenka-inflyatsionnykh-ozhidanij-naseleniya-rossii-na-osnove-poiskovykh-zaprosov-v-seti-internet-podkhod-sverkhu-vniz;https://questionset.ru/article/196/;196;2025;4;10.52342/2587-7666vte_2025_4_68_90;да;ОЦЕНКА ИНФЛЯЦИОННЫХ ОЖИДАНИЙ НАСЕЛЕНИЯ РОССИИ НА ОСНОВЕ ПОИСКОВЫХ ЗАПРОСОВ В СЕТИ ИНТЕРНЕТ (ПОДХОД «СВЕРХУ ВНИЗ»)
/index.php/arkhiv-publikatsij/2025/24-stati/istoriya-mysli/77-gloveli-g-d-merzlikin-k-e-r-m-nureev-ot-politekonomii-v-shirokom-smysle-k-poisku-institutsionalnoj-bolshoj-teorii-ekonomicheskoj-istorii;https://questionset.ru/article/197/;197;2025;4;10.52342/2587-7666vte_2025_4_91_104;да;Р.М. НУРЕЕВ: ОТ «ПОЛИТЭКОНОМИИ В ШИРОКОМ СМЫСЛЕ» К ПОИСКУ ИНСТИТУЦИОНАЛЬНОЙ «БОЛЬШОЙ ТЕОРИИ» ЭКОНОМИЧЕСКОЙ ИСТОРИИ
/index.php/arkhiv-publikatsij/2025/2-uncategorised/78-maslov-g-a-issledovanie-ntp-i-teorij-tekhniko-ekonomicheskogo-razvitiya-v-rabotakh-yu-ya-olsevicha;https://questionset.ru/article/198/;198;2025;4;10.52342/2587-7666vte_2025_4_105_116;да;ИССЛЕДОВАНИЕ НТП И ТЕОРИЙ ТЕХНИКО-ЭКОНОМИЧЕСКОГО РАЗВИТИЯ В РАБОТАХ Ю.Я. ОЛЬСЕВИЧА
/index.php/arkhiv-publikatsij/2025/24-stati/istoriya-mysli/79-borokh-o-n-transformatsiya-sistemy-ekonomicheskogo-obrazovaniya-v-kitae-pervaya-polovina-1950-kh-godov;https://questionset.ru/article/199/;199;2025;4;10.52342/2587-7666vte_2025_4_117_132;да;ТРАНСФОРМАЦИЯ СИСТЕМЫ ЭКОНОМИЧЕСКОГО ОБРАЗОВАНИЯ В КИТАЕ (ПЕРВАЯ ПОЛОВИНА 1950-х ГОДОВ)
/index.php/arkhiv-publikatsij/2025/25-stati/mezhdistsiplinarnye-issledovaniya/80-kazun-a-p-i-doverie-i-zakon-kak-sotsialnyj-kapital-i-formalnye-instituty-vliyayut-na-soblyudenie-kovidnykh-ogranichenij;https://questionset.ru/article/200/;200;2025;4;10.52342/2587-7666vte_2025_4_133_143;да;И ДОВЕРИЕ, И ЗАКОН: КАК СОЦИАЛЬНЫЙ КАПИТАЛ И ФОРМАЛЬНЫЕ ИНСТИТУТЫ ВЛИЯЮТ НА СОБЛЮДЕНИЕ КОВИДНЫХ ОГРАНИЧЕНИЙ
/index.php/arkhiv-publikatsij/2025/25-stati/mezhdistsiplinarnye-issledovaniya/81-titov-v-n-loginov-d-m-vliyanie-sotsialnogo-kapitala-na-subektivnoe-blagopoluchie;https://questionset.ru/article/201/;201;2025;4;10.52342/2587-7666vte_2025_4_144_157;да;ВЛИЯНИЕ СОЦИАЛЬНОГО КАПИТАЛА НА СУБЪЕКТИВНОЕ БЛАГОПОЛУЧИЕ
